Metric,Value
number_features,19.0
num_edge_features,13.0
initial_dim_gcn ,19.0
edge_dim_feature,13.0
hidden_dim_nn_1 ,500.0
hidden_dim_nn_2 ,250.0
hidden_dim_nn_3 ,100.0
hidden_dim_gat_0,15.0
hidden_dim_fcn_1 ,100.0
hidden_dim_fcn_2 ,50.0
hidden_dim_fcn_3 ,10.0
training_test_percentage %,90.0
batch_size,25.0
learning_rate,0.001
number_of_epochs,100.0
r2_train,0.9920712948306265
r_train,0.99636209283128
mae_train,87.3598861694336
mse_train,115.58087158203125
rmse_train,10.750854458229414
r2_validation,0.9630927545325297
r_validation,0.9814595493322188
mae_validation,190.4466094970703
mse_validation,251.3697509765625
rmse_validation,15.854644460742804
time_preprocessing,0.021366433302561442
time_training,22.243754931290944
time_prediction,0.1245029886563619
total_time,22.398015284538268
