Metric,Value
number_features,19.0
num_edge_features,13.0
initial_dim_gcn ,19.0
edge_dim_feature,13.0
hidden_dim_nn_1 ,500.0
hidden_dim_nn_2 ,250.0
hidden_dim_nn_3 ,100.0
hidden_dim_gat_0,15.0
hidden_dim_fcn_1 ,100.0
hidden_dim_fcn_2 ,50.0
hidden_dim_fcn_3 ,10.0
training_test_percentage %,90.0
batch_size,25.0
learning_rate,0.001
number_of_epochs,100.0
r2_train,0.9924247798217022
r_train,0.9962163835131814
mae_train,0.3780456483364105
mse_train,0.49253925681114197
rmse_train,0.7018114111434367
r2_validation,0.9863380297199692
r_validation,0.9931912910890712
mae_validation,0.5051632523536682
mse_validation,0.6616314649581909
rmse_validation,0.8134073179890816
time_preprocessing,551.2830011725425
time_training,234.00104183355967
time_prediction,1.1319257179896036
total_time,786.4164486050606
