Metric,Value
number_features,19.0
num_edge_features,13.0
initial_dim_gcn ,19.0
edge_dim_feature,13.0
hidden_dim_nn_1 ,500.0
hidden_dim_nn_2 ,250.0
hidden_dim_nn_3 ,100.0
hidden_dim_gat_0,15.0
hidden_dim_fcn_1 ,100.0
hidden_dim_fcn_2 ,50.0
hidden_dim_fcn_3 ,10.0
training_test_percentage %,90.0
batch_size,25.0
learning_rate,0.001
number_of_epochs,100.0
r2_train,0.9937001126552862
r_train,0.9969568791753579
mae_train,0.4350127577781677
mse_train,0.5628198385238647
rmse_train,0.7502131953810628
r2_validation,0.9910335531214431
r_validation,0.9956338854705161
mae_validation,0.5101775527000427
mse_validation,0.6583583950996399
rmse_validation,0.8113928734587456
time_preprocessing,0.1518343170483907
time_training,258.14084230661393
time_prediction,1.2490419507026673
total_time,259.5503991087278
