Metric,Value
number_features,19.0
num_edge_features,13.0
initial_dim_gcn ,19.0
edge_dim_feature,13.0
hidden_dim_nn_1 ,500.0
hidden_dim_nn_2 ,250.0
hidden_dim_nn_3 ,100.0
hidden_dim_gat_0,15.0
hidden_dim_fcn_1 ,100.0
hidden_dim_fcn_2 ,50.0
hidden_dim_fcn_3 ,10.0
training_test_percentage %,90.0
batch_size,25.0
learning_rate,0.001
number_of_epochs,100.0
r2_train,0.9896942081884026
r_train,0.9963539926172154
mae_train,0.4386439919471741
mse_train,0.5536063313484192
rmse_train,0.7440472641898626
r2_validation,0.9816465809333946
r_validation,0.9923585382173524
mae_validation,0.568958044052124
mse_validation,0.7513881325721741
rmse_validation,0.8668264720070413
time_preprocessing,720.3350059866905
time_training,222.77713233629862
time_prediction,1.056161383787791
total_time,944.1688395182292
