Metric,Value
number_features,19.0
num_edge_features,13.0
initial_dim_gcn ,19.0
edge_dim_feature,13.0
hidden_dim_nn_1 ,500.0
hidden_dim_nn_2 ,250.0
hidden_dim_nn_3 ,100.0
hidden_dim_gat_0,15.0
hidden_dim_fcn_1 ,100.0
hidden_dim_fcn_2 ,50.0
hidden_dim_fcn_3 ,10.0
training_test_percentage %,90.0
batch_size,25.0
learning_rate,0.001
number_of_epochs,100.0
r2_train,0.9938577911408062
r_train,0.9970243823181966
mae_train,0.3921000063419342
mse_train,0.5136432647705078
rmse_train,0.7166890991012127
r2_validation,0.9860450027070052
r_validation,0.9932096145323948
mae_validation,0.5715493559837341
mse_validation,0.7704901695251465
rmse_validation,0.8777756943121326
time_preprocessing,292.8420092066129
time_training,212.8182856520017
time_prediction,0.9724307457605997
total_time,506.6332839767138
