Metric,Value
number_features,19.0
num_edge_features,13.0
initial_dim_gcn ,19.0
edge_dim_feature,13.0
hidden_dim_nn_1 ,500.0
hidden_dim_nn_2 ,250.0
hidden_dim_nn_3 ,100.0
hidden_dim_gat_0,15.0
hidden_dim_fcn_1 ,100.0
hidden_dim_fcn_2 ,50.0
hidden_dim_fcn_3 ,10.0
training_test_percentage %,90.0
batch_size,25.0
learning_rate,0.001
number_of_epochs,100.0
r2_train,0.9932278186692856
r_train,0.9967481908081299
mae_train,0.3608073890209198
mse_train,0.4657013416290283
rmse_train,0.6824231397227297
r2_validation,0.9856101512770057
r_validation,0.9928434984999442
mae_validation,0.5119197368621826
mse_validation,0.6790279150009155
rmse_validation,0.8240315012188039
time_preprocessing,504.72709221839904
time_training,214.1811799764633
time_prediction,1.004295531908671
total_time,719.9131252090136
