Metric,Value
number_features,19.0
num_edge_features,13.0
initial_dim_gcn ,19.0
edge_dim_feature,13.0
hidden_dim_nn_1 ,500.0
hidden_dim_nn_2 ,250.0
hidden_dim_nn_3 ,100.0
hidden_dim_gat_0,15.0
hidden_dim_fcn_1 ,100.0
hidden_dim_fcn_2 ,50.0
hidden_dim_fcn_3 ,10.0
training_test_percentage %,90.0
batch_size,25.0
learning_rate,0.001
number_of_epochs,100.0
r2_train,0.9913101213832363
r_train,0.9962506046094401
mae_train,184.0800323486328
mse_train,257.4818115234375
rmse_train,16.04623979390304
r2_validation,0.9879198609523857
r_validation,0.9945733432131145
mae_validation,209.7440185546875
mse_validation,302.8294372558594
rmse_validation,17.40199520905173
time_preprocessing,1179.2782588481903
time_training,865.5925442298253
time_prediction,4.023695627848308
total_time,2048.8951550682386
