Metric,Value
number_features,19.0
num_edge_features,13.0
initial_dim_gcn ,19.0
edge_dim_feature,13.0
hidden_dim_nn_1 ,500.0
hidden_dim_nn_2 ,250.0
hidden_dim_nn_3 ,100.0
hidden_dim_gat_0,15.0
hidden_dim_fcn_1 ,100.0
hidden_dim_fcn_2 ,50.0
hidden_dim_fcn_3 ,10.0
training_test_percentage %,90.0
batch_size,25.0
learning_rate,0.001
number_of_epochs,100.0
r2_train,0.9965953166219257
r_train,0.9986914713167521
mae_train,0.2753411531448364
mse_train,0.35490304231643677
rmse_train,0.5957373937536881
r2_validation,0.9949771078458918
r_validation,0.9978974741782548
mae_validation,0.33233559131622314
mse_validation,0.44105473160743713
rmse_validation,0.6641195160567389
time_preprocessing,105.97868978182474
time_training,183.6089751680692
time_prediction,0.8429021398226421
total_time,290.43097976446154
