Metric,Value
number_features,19.0
num_edge_features,13.0
initial_dim_gcn ,19.0
edge_dim_feature,13.0
hidden_dim_nn_1 ,500.0
hidden_dim_nn_2 ,250.0
hidden_dim_nn_3 ,100.0
hidden_dim_gat_0,15.0
hidden_dim_fcn_1 ,100.0
hidden_dim_fcn_2 ,50.0
hidden_dim_fcn_3 ,10.0
training_test_percentage %,90.0
batch_size,25.0
learning_rate,0.001
number_of_epochs,100.0
r2_train,0.9917934157837475
r_train,0.9958951666948449
mae_train,0.37796059250831604
mse_train,0.4940166473388672
rmse_train,0.7028631782494138
r2_validation,0.9853530945370824
r_validation,0.9926675771253337
mae_validation,0.4978160560131073
mse_validation,0.6712414622306824
rmse_validation,0.8192932699776573
time_preprocessing,790.6060261289279
time_training,246.72261241674423
time_prediction,1.1993834614753722
total_time,1038.5285179535547
