Metric,Value
number_features,19.0
num_edge_features,13.0
initial_dim_gcn ,19.0
edge_dim_feature,13.0
hidden_dim_nn_1 ,500.0
hidden_dim_nn_2 ,250.0
hidden_dim_nn_3 ,100.0
hidden_dim_gat_0,15.0
hidden_dim_fcn_1 ,100.0
hidden_dim_fcn_2 ,50.0
hidden_dim_fcn_3 ,10.0
training_test_percentage %,90.0
batch_size,25.0
learning_rate,0.001
number_of_epochs,100.0
r2_train,0.9912206319635752
r_train,0.9957245749232788
mae_train,88.99176025390625
mse_train,121.62320709228516
rmse_train,11.028291213614427
r2_validation,0.9619337332926752
r_validation,0.9808146291250955
mae_validation,193.49490356445312
mse_validation,255.28619384765625
rmse_validation,15.97767798673062
time_preprocessing,0.021262220541636147
time_training,22.334242006142933
time_prediction,0.12470914920171101
total_time,22.488411903381348
