Metric,Value
number_features,19.0
num_edge_features,13.0
initial_dim_gcn ,19.0
edge_dim_feature,13.0
hidden_dim_nn_1 ,500.0
hidden_dim_nn_2 ,250.0
hidden_dim_nn_3 ,100.0
hidden_dim_gat_0,15.0
hidden_dim_fcn_1 ,100.0
hidden_dim_fcn_2 ,50.0
hidden_dim_fcn_3 ,10.0
training_test_percentage %,90.0
batch_size,25.0
learning_rate,0.001
number_of_epochs,100.0
r2_train,0.9917466697953746
r_train,0.9959280227311567
mae_train,0.4482160210609436
mse_train,0.5954069495201111
rmse_train,0.7716261721326663
r2_validation,0.987239718089471
r_validation,0.9936487836381522
mae_validation,0.5411968231201172
mse_validation,0.7367706894874573
rmse_validation,0.8583534758404938
time_preprocessing,398.2691346804301
time_training,285.3998419165611
time_prediction,1.5628047704696655
total_time,685.2323734839757
