Metric,Value
number_features,19.0
num_edge_features,13.0
initial_dim_gcn ,19.0
edge_dim_feature,13.0
hidden_dim_nn_1 ,500.0
hidden_dim_nn_2 ,250.0
hidden_dim_nn_3 ,100.0
hidden_dim_gat_0,15.0
hidden_dim_fcn_1 ,100.0
hidden_dim_fcn_2 ,50.0
hidden_dim_fcn_3 ,10.0
training_test_percentage %,90.0
batch_size,25.0
learning_rate,0.001
number_of_epochs,100.0
r2_train,0.9928406173403824
r_train,0.9965596921219929
mae_train,0.36937445402145386
mse_train,0.47882959246635437
rmse_train,0.6919751386186894
r2_validation,0.9866388241358707
r_validation,0.9934349804932634
mae_validation,0.494215190410614
mse_validation,0.6543074250221252
rmse_validation,0.8088927153968721
time_preprocessing,685.5604070186615
time_training,247.29913978179295
time_prediction,1.1284231464068095
total_time,933.9884470820427
