Metric,Value
number_features,19.0
num_edge_features,13.0
initial_dim_gcn ,19.0
edge_dim_feature,13.0
hidden_dim_nn_1 ,500.0
hidden_dim_nn_2 ,250.0
hidden_dim_nn_3 ,100.0
hidden_dim_gat_0,15.0
hidden_dim_fcn_1 ,100.0
hidden_dim_fcn_2 ,50.0
hidden_dim_fcn_3 ,10.0
training_test_percentage %,90.0
batch_size,25.0
learning_rate,0.001
number_of_epochs,100.0
r2_train,0.9942466412166662
r_train,0.9987790538565551
mae_train,0.37375521659851074
mse_train,0.4613516628742218
rmse_train,0.679228726478954
r2_test,0.9921075881340902
r_test,0.9976972233274576
mae_test,0.42234930396080017
mse_test,0.5528666973114014
rmse_test,0.7435500637558989
time_preprocessing,101.76354182958603
time_training,202.18977028926213
time_prediction,1.047562559445699
total_time,305.00149587790173
