Metric,Value
number_features,19.0
num_edge_features,13.0
initial_dim_gcn ,19.0
edge_dim_feature,13.0
hidden_dim_nn_1 ,500.0
hidden_dim_nn_2 ,250.0
hidden_dim_nn_3 ,100.0
hidden_dim_gat_0,15.0
hidden_dim_fcn_1 ,100.0
hidden_dim_fcn_2 ,50.0
hidden_dim_fcn_3 ,10.0
training_test_percentage %,90.0
batch_size,25.0
learning_rate,0.001
number_of_epochs,100.0
r2_train,0.9959078386315308
r_train,0.9979605480536866
mae_train,0.35098934173583984
mse_train,0.45360663533210754
rmse_train,0.673503255621016
r2_test,0.9915095405416344
r_test,0.9957590404580638
mae_test,0.49366167187690735
mse_test,0.6406455039978027
rmse_test,0.8004033383225002
time_preprocessing,1047.4110402663548
time_training,266.71103793382645
time_prediction,1.3571110844612122
total_time,1315.4799754182498
