Metric,Value
number_features,19.0
num_edge_features,13.0
initial_dim_gcn ,19.0
edge_dim_feature,13.0
hidden_dim_nn_1 ,500.0
hidden_dim_nn_2 ,250.0
hidden_dim_nn_3 ,100.0
hidden_dim_gat_0,15.0
hidden_dim_fcn_1 ,100.0
hidden_dim_fcn_2 ,50.0
hidden_dim_fcn_3 ,10.0
training_test_percentage %,90.0
batch_size,25.0
learning_rate,0.001
number_of_epochs,100.0
r2_train,0.9969335480953221
r_train,0.9985183227718823
mae_train,0.2546137869358063
mse_train,0.33681347966194153
rmse_train,0.580356338521379
r2_validation,0.9957808484991562
r_validation,0.9979373149029809
mae_validation,0.3013622462749481
mse_validation,0.40422961115837097
rmse_validation,0.6357905403184062
time_preprocessing,145.4145684838295
time_training,242.45708353519439
time_prediction,1.3332546472549438
total_time,389.20531495014825
