Metric,Value
number_features,19.0
num_edge_features,13.0
initial_dim_gcn ,19.0
edge_dim_feature,13.0
hidden_dim_nn_1 ,500.0
hidden_dim_nn_2 ,250.0
hidden_dim_nn_3 ,100.0
hidden_dim_gat_0,15.0
hidden_dim_fcn_1 ,100.0
hidden_dim_fcn_2 ,50.0
hidden_dim_fcn_3 ,10.0
training_test_percentage %,90.0
batch_size,25.0
learning_rate,0.001
number_of_epochs,100.0
r2_train,0.9954146716623883
r_train,0.9977458554742502
mae_train,0.3713040351867676
mse_train,0.48016250133514404
rmse_train,0.692937588340497
r2_validation,0.99165279152325
r_validation,0.9958414646039385
mae_validation,0.49044397473335266
mse_validation,0.63521808385849
rmse_validation,0.7970056987616149
time_preprocessing,1132.515931300322
time_training,329.4444540421168
time_prediction,1.8242486755053202
total_time,1463.7851699471473
