Metric,Value
number_features,19.0
num_edge_features,13.0
initial_dim_gcn ,19.0
edge_dim_feature,13.0
hidden_dim_nn_1 ,500.0
hidden_dim_nn_2 ,250.0
hidden_dim_nn_3 ,100.0
hidden_dim_gat_0,15.0
hidden_dim_fcn_1 ,100.0
hidden_dim_fcn_2 ,50.0
hidden_dim_fcn_3 ,10.0
training_test_percentage %,90.0
batch_size,25.0
learning_rate,0.001
number_of_epochs,100.0
r2_train,0.9949344358336786
r_train,0.9975699834665697
mae_train,195.287841796875
mse_train,269.9068603515625
rmse_train,16.428842331447537
r2_validation,0.9855311913722312
r_validation,0.9929129206238283
mae_validation,335.09356689453125
mse_validation,454.2992248535156
rmse_validation,21.314296255178487
time_preprocessing,22.025966807206473
time_training,87.46179893016816
time_prediction,0.44339051644007366
total_time,109.93146614233653
